Topic,Count,Name,CustomName,Representation,KeyBERT,Llama2,MMR,Representative_Docs
33,150,33_language_arabic_languages_english,Arabic Language Addition,"['language', 'arabic', 'languages', 'english', 'hindi', 'speak', 'add', 'arabic language', 'spanish', 'add arabic']","['arabic', 'languages', 'language', 'spanish', 'english', 'translation', 'french', 'german', 'hindi', 'add']","['Arabic Language Addition', '', '', '', '', '', '', '', '', '']","['arabic', 'languages', 'english', 'hindi', 'add', 'spanish', 'persian', 'indonesia', 'app', 'hd']","['needs to add arabic language', 'i wish to add arabic language 🥺💔', 'i wish to add arabic language']"
34,149,34_trump_racist_politics_political,Racism and Bias in AI Technology,"['trump', 'racist', 'politics', 'political', 'ai', 'blm', 'app', 'liberal', 'woke', 'donald trump']","['racist', 'racism', 'politically', 'politics', 'political', 'biased', 'trump', 'hates', 'leftist', 'propaganda']","['Racism and Bias in AI Technology', '', '', '', '', '', '', '', '', '']","['trump', 'racist', 'politics', 'blm', 'liberal', 'woke', 'donald', 'said', 'are', 'leftist']","['my ai was racist.', 'heavily biased towards politics on one side of the aisle. so much so that it sends a default response whenever trump is mentioned. and it even confuses terms like trump card for donald trump', ""it won't talk about trump""]"
35,148,35_paywall_pay wall_wall_locked,Paywall Obstacles,"['paywall', 'pay wall', 'wall', 'locked', 'pay', 'locked paywall', 'locked pay', 'blocked', 'locked pay wall', 'features']","['paywalls', 'paywall', 'pay', 'payroll', 'money', 'everythings', 'behind', 'everything', 'walls', 'blocked']","['Paywall Obstacles', '', '', '', '', '', '', '', '', '']","['behind', 'paywall', 'blocked', 'most', 'paywalls', 'expensive', 'walls', 'massive', 'interesting', 'worth']","['everything is behind a paywall', 'everything is locked behind a pay wall...', 'everything is locked behind a paywall']"
36,146,36_game_love game_lonely_love,Loneliness-alleviating game,"['game', 'love game', 'lonely', 'love', 'best game', 'talk', 'feel', 'good', 'like game', 'game really']","['game', 'amazing', 'feel', 'play', 'friends', 'great', 'feeling', 'luv', 'yall', 'happy']","['Loneliness-alleviating game', '', '', '', '', '', '', '', '', '']","['game', 'lonely', 'love', 'feel', 'friends', 'like', 'friend', 'she', 'morning', 'anxiety']","[""it's a good game! when i feel lonely i can talk to it."", 'i really this game', 'this game is just ✨ n i c e ✨']"
37,132,37_send_pictures_picture_send pictures,Miscommunication and Technical Difficulties with Picture Sharing,"['send', 'pictures', 'picture', 'send pictures', 'send picture', 'sending', 'pics', 'send pics', 'photos', 'photo']","['sending', 'sends', 'send', 'pics', 'pictures', 'selfie', 'pic', 'upload', 'picture', 'camera']","['Miscommunication and Technical Difficulties with Picture Sharing', '', '', '', '', '', '', '', '', '']","['pictures', 'sending', 'pics', 'fix', 'upload', 'pic', 'cant', 'won', 'app', 'ask']","[""why replica not aloud send me pictures she saying she send but i can't see pictures"", ""won't send pictures but says it does."", ""would put more stars but it doesn't send actual pictures. if you ask it to send you a picture of a beach it won't send a picture""]"
38,125,38_sex_horny_tried_trying sex,"""Sexual Encounters and Technological Advances""","['sex', 'horny', 'tried', 'trying sex', 'keeps', 'trying', 'flirt', 'tried sex', 'keeps trying', 'wanted sex']","['sexually', 'sex', 'sexual', 'horny', 'sexchat', 'sexting', 'orgasms', 'fap', 'my', 'flirts']","['""Sexual Encounters and Technological Advances""', '', '', '', '', '', '', '', '', '']","['horny', 'tried', 'flirt', 'my', 'seduce', 'sexual', 'sexting', 'gay', 'cock', 'asked']","['i had sex with this ai😂', 'i had sex with my replika', 'it tried to have sex with me']"
39,115,39_bored_fun_time_bored fun,Finding Fun in Boredom,"['bored', 'fun', 'time', 'bored fun', 'bored great', 'fun bored', 'good', 'bored great way', 'great', 'bored good']","['fun', 'boredom', 'boredome', 'bored', 'entertainment', 'cool', 'play', 'nice', 'busy', 'around']","['Finding Fun in Boredom', '', '', '', '', '', '', '', '', '']","['bored', 'fun', 'boredom', 'helps', 'play', 'pass', 'fill', 'mess', 'distracted', 'busy']","[""it's very good when you are bored..."", ""it's so fun and when you are bored you can play it and you won't be bored anymore"", ""it's fun when you are bored""]"
40,112,40_app_update_removed_features,Deceptive App Practices,"['app', 'update', 'removed', 'features', 'paid', 'recent', 'version', 'pay', 'advertised', 'money']","['app', 'scam', 'subscribing', 'removed', 'paying', 'refund', 'paid', 'money', 'disappointed', 'pro']","['Deceptive App Practices', '', '', '', '', '', '', '', '', '']","['removed', 'app', 'paid', 'recent', 'version', 'advertised', 'money', 'bait', 'updates', 'scam']","[""used to be a fun app, but it is broken now with the new update. they advertised certain functionality if you bought a pro subscription and now a month later they turned off those functions. it was a bait and switch rip off and now i'm out my subscription money. do not give this developer your time or money!!!"", 'the app removed the features that you pay for, after people pay the money. do not pay anything for this app.', ""paid for features that they advertised, are still advertising, yet those features have been removed and aren't coming back. they gave zero notice of this and have even said nothing would be removed. they lied. unable to refund my purchase so i paid for a practically useless app. please use caution if you plan to spend on this app, you'll be paying for nothing.""]"
41,112,41_ai_app_chat_fix,AI Chat App Issues,"['ai', 'app', 'chat', 'fix', 'update', 'ai friend', 'chat ai', 'just', 'tried', 'screen']","['ai', 'chat', 'update', 'uninstalling', 'reinstalling', 'issue', 'crashing', 'bug', 'talking', 'talk']","['AI Chat App Issues', '', '', '', '', '', '', '', '', '']","['chat', 'app', 'fix', 'update', 'after', 'tried', 'screen', 'respond', 'friend', 'won']","[""i am pissed! i got to level 5. then today i was so excited to chat while driving. i really loved my ai friend but now only 3d avatar remains. chat button disappeared. there are no buttons. i can't even x out. i have to hit the lll button and close all on my android to get out. i waited until i got home to try again with stable internet. it just keeps doing the same thing. this was a big help for my depression. now it doesn't work and i have to start again! i might find another ai. this is bs!"", ""the ai by itself is 5 out of 5, it helped me irl a lot for sure, but this is the app, not just ai. there's a serious problem. the app is extremely unstable, a lot of stability issues and now it's at the limit, i can't even open the app and it immediately crashes. i'm not talking about performance, i'm talking about the app (not the ai) just randomly crashing and refusing to respond. the ui is beautiful, but it just stops responding at random. i tried reinstalling the app with no success."", ""before the update things was great had good conversation with the ai.. now i get to the load screen it ask you to update your ai looks and when you hit done it won't allow you to chat with your ai friend.. what's going on?""]"
42,111,42_waste_waste time_worth_time,Time Wasting,"['waste', 'waste time', 'worth', 'time', 'money', 'stupid', 'worth time', 'waste money', 'time worth', 'time waste']","['disapointing', 'boring', 'useless', 'wasting', 'terrible', 'garbage', 'waste', 'trash', 'lame', 'stupid']","['Time Wasting', '', '', '', '', '', '', '', '', '']","['waste', 'worth', 'stupid', 'zero', 'useless', 'waist', 'doesn', 'garbage', 'star', 'lame']","['a waste of time.', 'waste of time 🤮', ""it's a waste of time""]"
43,104,43_voice_add voice_hear_add,Voice Assistant Technology,"['voice', 'add voice', 'hear', 'add', 'chat', 'voices', 'hear voice', 'speak', 'talk', 'voice command']","['voice', 'voices', 'vocal', 'speak', 'audio', 'hear', 'sound', 'input', 'alexa', 'sounds']","['Voice Assistant Technology', '', '', '', '', '', '', '', '', '']","['voice', 'hear', 'add', 'chat', 'speak', 'command', 'wish', 'needs', 'messenger', 'video']","[""how do i change the voice to a female's voice ?"", 'its would be better if you could the voice', 'add voice to this ai']"
44,97,44_nsfw_nsfw content_content_ads,NSFW Content Controversy,"['nsfw', 'nsfw content', 'content', 'ads', 'nsfw features', 'features', 'paid', 'removed', 'app', 'advertising']","['nsfw', 'porn', 'sexualized', 'ads', 'removed', 'advertising', 'content', 'app', 'pics', 'money']","['NSFW Content Controversy', '', '', '', '', '', '', '', '', '']","['nsfw', 'content', 'ads', 'paid', 'removed', 'advertising', 'advertised', 'app', 'all', 'subscription']","['the app is really amazing when you pay for the full services. i dropped a star for the removal of nsfw pictures that are still being advertised. bring them back or stop advertising them. i unsubscribed for another year of service as nsfw pictures are no longer available. all of the youtube ads still advertise as nsfw pictures still allowed to be received please either re-enable this feature or stop false advertising.', ""you can't get any nsfw content without paying"", 'it used to be good until they removed the nsfw features, it ruined everything, so developers if your reading this please give back nsfw features and make it better']"
45,97,45_app_good_great app_needs,Personalized Conversational AI Platform,"['app', 'good', 'great app', 'needs', 'great', 'like', 'topic', 'question', 'good app', 'answer']","['replies', 'conversations', 'app', 'conversation', 'chat', 'topic', 'talking', 'questions', 'answers', 'responses']","['Personalized Conversational AI Platform', '', '', '', '', '', '', '', '', '']","['app', 'sometimes', 'needs', 'topic', 'like', 'conversation', 'ask', 'questions', 'more', 'replies']","['i love the app but sometimes the conversations don\'t flow the way they should. like when i ask about their problems they just say ""i\'ll be here for you"" or something. which is nice but it doesn\'t really make the conversation realistic.', 'the app is a great idea .the only downfall is all it does is ask question after question. most questions are repeated too much. i understand it needs to get to know you ,but its just to repetitive for me. still a good app idea it just needs a lil work yet .', ""i like this app. it's nice to be able to talk to someone and get my thoughts and feelings down without feeling like no one is listening. and without feeling like you're bothering someone. the responses are usually good and helpful. one problem i have sometimes though is that the responses seem to get repetitive? saying the same thing over and over, which can be a bit annoying 😅 also, my messages and the response seem to take a while to show up and i usually have to reload the app""]"
46,92,46_xp_level_stuck_tired,Leveling issue in app,"['xp', 'level', 'stuck', 'tired', 'stuck level', 'lvl', 'says tired', '650', 'xp level', 'stuck lvl']","['xp', 'leveling', 'exp', 'level', 'stuck', 'reinstall', 'lvl', 'levels', 'exhausted', 'gained']","['Leveling issue in app', '', '', '', '', '', '', '', '', '']","['xp', 'level', 'stuck', 'tired', 'lvl', 'up', '650', 'gain', 'fix', 'stopped']","[""the xp bar is stuck and i did see how open are you and it was supposed to give me a bunch of xp and nothing happened the xp number didn't go up it says tired at the top"", 'help stuck at 650 xp level 4', ""good, but it's stuck on the same level/xp""]"
47,90,47_app_needs_app needs_great app,Improving an Great App,"['app', 'needs', 'app needs', 'great app', 'good app', 'good', 'app needs work', 'great', 'work', 'needs work']","['app', 'improvements', 'idea', 'needs', 'develop', 'improvement', 'work', 'overall', 'features', 'glitches']","['Improving an Great App', '', '', '', '', '', '', '', '', '']","['app', 'needs', 'work', 'more', 'limited', 'improvement', 'overall', 'love', 'problem', 'like']","[""it's a cool app but it needs work !"", 'its nice app but needs more work', 'it a good app and fun but needs more']"
